Unnamed: 0,Hora,Temperatura_Media,Temperatura_Minima,Temperatura_Maxima,Brillo_Solar,Energia_Radiacion_Solar,Humedad_Relativa,Precipitaciones,Evaporaciones,Velocidad_del_Viento,FechaHora
4979,00:00:00,10.4,4.2,16.0,2.6,302.4,83.6,0.0,2.06,0.85,1993-08-19
4980,00:00:00,12.6,8.2,17.2,9.5,621.81,74.6,0.0,4.74,1.38,1993-08-20
4981,00:00:00,12.1,9.2,17.4,5.1,463.05,78.0,0.0,1.91,1.38,1993-08-21
4982,00:00:00,12.1,8.5,17.0,6.3,489.51,76.0,0.0,1.07,1.16,1993-08-22
4983,00:00:00,10.8,7.4,17.2,3.0,357.21,81.6,0.2,3.2,1.11,1993-08-23
4984,00:00:00,11.9,8.0,17.0,3.1,417.69,75.6,0.2,5.08,0.98,1993-08-24
4985,00:00:00,11.9,7.6,16.4,4.8,413.91,78.6,0.0,3.52,0.93,1993-08-25
4986,00:00:00,11.4,6.8,16.0,1.7,306.18,87.6,0.9,1.22,0.86,1993-08-26
4987,00:00:00,13.0,9.4,17.0,6.5,485.73,74.3,0.3,3.06,1.12,1993-08-27
4988,00:00:00,11.5,8.4,16.2,4.0,451.71,82.3,0.0,3.22,1.04,1993-08-28
4989,00:00:00,12.0,5.4,18.4,8.9,655.83,75.6,0.0,3.22,1.22,1993-08-29
4990,00:00:00,12.9,7.0,18.2,10.1,697.41,76.3,0.0,5.88,1.29,1993-08-30
4991,00:00:00,13.6,10.4,19.4,6.9,519.75,73.6,0.0,5.66,1.11,1993-08-31
4992,00:00:00,12.7,6.0,20.2,6.4,415.8,79.0,0.0,2.98,0.96,1993-09-01
4993,00:00:00,13.2,6.8,20.2,9.0,591.57,68.6,0.0,5.2,1.21,1993-09-02
4994,00:00:00,11.8,10.0,19.6,1.4,285.38,82.0,0.3,1.88,0.84,1993-09-03
4995,00:00:00,13.4,8.8,19.2,3.7,392.58,78.6,6.8,3.2,0.64,1993-09-04
4996,00:00:00,14.0,9.2,18.0,6.3,512.19,75.0,3.3,3.44,1.09,1993-09-05
4997,00:00:00,12.2,9.6,15.2,2.8,385.56,72.0,0.0,3.86,1.41,1993-09-06
4998,00:00:00,11.8,8.2,15.8,3.0,257.94,84.3,5.7,2.0,0.6000000000000001,1993-09-07
4999,00:00:00,12.1,10.2,15.6,0.9,306.18,84.6,3.6,0.08,0.94,1993-09-08
5000,00:00:00,12.3,8.2,17.6,4.7,447.83,80.3,0.0,4.52,1.06,1993-09-09
5001,00:00:00,13.4,10.6,18.2,4.6,425.25,77.3,2.7,4.2,1.08,1993-09-10
5002,00:00:00,13.7,10.8,18.6,6.0,425.25,77.6,0.0,3.42,0.89,1993-09-11
5003,00:00:00,14.0,9.0,18.8,9.4,374.22,75.6,0.0,8.26,1.05,1993-09-12
5004,00:00:00,13.0,9.8,18.2,4.1,430.92,76.3,3.3,3.3,0.92,1993-09-13
5005,00:00:00,11.5,9.2,14.8,1.0,304.29,76.6,0.4,2.06,0.78,1993-09-14
5006,00:00:00,12.9,10.2,17.8,4.7,480.06,85.6,0.0,3.8,1.06,1993-09-15
5007,00:00:00,13.1,8.0,17.2,5.1,393.12,82.3,5.4,1.96,0.7000000000000001,1993-09-16
5008,00:00:00,12.6,7.8,17.0,4.5,436.59,80.0,0.0,1.9,1.08,1993-09-17
5009,00:00:00,11.8,10.0,16.2,2.5,374.22,84.0,0.2,3.26,1.08,1993-09-18
5010,00:00:00,11.9,4.6,17.8,6.6,519.75,81.0,0.0,3.98,0.99,1993-09-19
5011,00:00:00,12.5,5.8,19.0,8.8,616.14,80.6,0.0,4.74,1.05,1993-09-20
5012,00:00:00,12.8,7.6,18.8,8.9,580.23,70.6,0.0,3.62,1.19,1993-09-21
5013,00:00:00,12.7,6.6,18.6,5.6,423.36,77.3,0.9,3.26,1.2,1993-09-22
5014,00:00:00,12.6,9.2,17.8,0.4,400.68,79.3,0.0,3.28,0.85,1993-09-23
5016,00:00:00,12.9,8.8,18.4,7.9,257.04,82.3,0.9,3.32,1.15,1993-09-25
5017,00:00:00,13.3,8.4,18.0,6.8,557.55,73.6,0.0,4.7,1.19,1993-09-26
